ISO_Code,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BWA,Botswana,116.8627701,114.5589218,113.0895615,112.8760681,111.4758377,111.9351425,112.2060013,110.4460678,110.4315338,110.5248032,111.4572983,111.1353378,110.9599762,110.0611725,110.4300537,110.3993683,108.5285492,107.319931,106.594841,NA,NA,104.1045227,103.6491013,102.1402206,102.0644836,NA,NA,NA
CAF,Central African Republic,53.11304092,47.11460114,NA,NA,NA,NA,NA,NA,NA,NA,63.85292053,55.26374817,55.35895157,46.40422058,52.62020111,52.25867844,60.59328842,70.07289124,71.39012909,73.40722656,74.54873657,75.71212006,NA,NA,NA,89.36940002,NA,NA
CHL,Chile,101.9147034,99.09861755,99.45095825,NA,NA,98.79131317,77.27416229,101.5112305,102.2886429,101.7447968,NA,99.60858917,98.43981934,101.6765137,102.1462631,102.9623184,104.0464172,104.6508789,103.8259811,102.2248077,101.7123489,101.5576706,99.81938934,99.34767151,99.13217926,99.45710754,99.94246674,100.6640015
CHN,China,118.4450531,116.6632233,113.7686234,111.0568314,108.6255493,105.646492,103.6768494,104.3706818,NA,NA,111.8342285,NA,NA,NA,NA,100.5622482,100.0725708,99.90914154,99.12140656,98.04289246,98.2403183,99.1953125,99.43688965,95.83342743,96.44554138,98.22966003,99.90992737,100.8315811
CIV,Cote d'Ivoire,58.1603508,57.93320847,56.72314072,58.70238876,59.61091995,60.08015823,60.95317841,62.26797867,63.55735016,63.18368149,65.81912994,64.78581238,63.54299927,NA,NA,60.33909988,60.81425858,64.06510162,64.13481903,NA,72.19464111,75.60636902,77.5619278,80.61576843,84.87670898,90.62413025,93.81539154,95.97512054
CMR,Cameroon,89.08834839,86.68286133,NA,79.11096954,77.05773926,68.99902344,72.79807281,72.96295929,74.81331635,78.46349335,93.69358063,93.22653198,92.86305237,97.2008667,94.26908875,93.23438263,96.33014679,96.41589355,98.57682037,100.1863098,99.69365692,104.2583466,NA,106.6980515,109.9387283,109.9869385,104.506279,98.01210022
COD,"Congo, Dem. Rep.",68.11849976,66.89676666,68.52500916,65.19597626,65.73103333,NA,NA,56.11822891,50.79727936,NA,NA,59.02151871,NA,NA,NA,NA,83.71212006,92.64707947,92.78681946,93.03692627,94.11844635,98.84890747,101.2836533,104.8954468,107.5762863,NA,NA,114.6757278
COG,"Congo, Rep.",116.6736298,115.669632,117.8032913,114.1780777,109.3952637,108.2488403,104.0686188,87.23319244,57.24131012,83.11054993,98.25610352,100.6396713,94.9190979,105.8178635,104.5803604,103.292717,102.4329376,100.1132889,103.5733109,106.0982895,106.0841522,110.5056763,NA,NA,NA,NA,NA,NA
COL,Colombia,108.9589691,115.4504013,114.5796738,113.4070892,113.67733,118.4302521,NA,119.2999878,119.7793579,119.3082809,115.7727585,116.6664429,NA,118.8993301,120.4071808,121.6014404,122.7143021,123.3756485,124.3965836,119.2928467,115.6577301,113.0435104,114.7479172,112.654007,113.405983,114.5958328,113.1108627,112.7591171
COM,Comoros,86.33216858,97.93560791,93.80682373,92.46347046,NA,NA,NA,93.3474884,85.6328125,95.14379883,NA,100.9565964,99.48561859,101.6050034,NA,NA,98.36231995,104.1426163,NA,NA,98.87805939,NA,103.7835693,101.199501,NA,NA,97.23628998,99.42279053
CRI,Costa Rica,101.877739,102.9254379,103.2125778,102.9886932,103.1644363,103.6218109,103.2072906,103.3799515,110.5780106,107.321991,108.8577423,107.4422073,NA,112.4325485,110.3870926,112.8674316,112.5352783,114.2836304,115.755188,115.7285995,114.8438416,113.7784271,111.5963669,111.2726135,110.9703217,112.0899429,111.4698105,113.8066406
CUB,Cuba,96.09480286,98.5357132,99.15193939,100.9078064,100.4346008,102.71418,102.2142792,99.96244049,100.5331268,100.5307083,100.891777,101.7300491,100.1235199,99.91855621,99.57701111,98.98220825,98.25331879,98.06448364,99.55619049,100.2240982,100.2865219,99.85048676,98.33486938,97.43640137,96.49492645,96.98298645,97.77471924,99.58638763
DJI,Djibouti,27.48823929,28.74382019,27.1512394,28.56856918,29.43873024,28.77224922,28.09163094,27.69319916,27.13858986,27.59382057,31.27732086,33.23664093,NA,37.12619019,39.19601059,41.34508896,46.00231171,57.21701813,58.49200821,NA,69.28321075,72.36631012,71.78188324,72.99420166,72.83492279,71.88542175,71.91819763,71.18781281
DZA,Algeria,86.44248962,88.86042023,89.59784698,90.80513,91.27059937,92.87391663,94.34883881,95.86904144,97.96343231,100.4994278,99.50180054,100.939949,101.6425781,102.6963806,103.3145981,103.9468079,105.7112579,105.5813599,108.5626907,111.5404816,112.788353,114.639061,116.3115463,115.4654617,112.9905396,110.8365402,108.8974915,107.3022919
EGY,"Egypt, Arab Rep.",85.20468903,78.79969788,79.89997864,87.8482666,82.95275116,83.78275299,90.03382111,NA,90.55925751,90.38897705,91.01946259,92.20968628,93.20288086,94.10366058,93.052948,94.72657776,96.22624207,NA,99.65918732,100.7397766,96.82498932,104.0612106,104.6289368,103.7177582,NA,105.4301224,106.2798386,106.4991074
ERI,Eritrea,28.96776962,43.16347885,49.57799911,53.60293961,56.42147064,59.68320847,59.49905014,NA,64.53011322,72.5266571,73.54280853,81.58757782,90.90686035,96.74239349,100.7539215,100.6341095,94.2780304,88.67391205,83.556427,76.91638947,78.62071228,79.69206238,94.32260895,73.43309021,70.39865875,NA,63.19858932,63.07897949
ETH,Ethiopia,25.19856071,21.2755394,17.84466934,19.69380951,21.84745979,25.57612991,29.20265961,37.16001892,37.68291092,43.27433014,49.57101822,53.21569824,55.02468872,59.56774139,71.91226959,77.48825073,83.80402374,89.93562317,89.86032104,88.01612091,90.36852264,90.7175827,NA,94.96896362,96.08529663,NA,NA,NA
GAB,Gabon,NA,135.6187897,NA,139.1175232,145.2320862,143.7681274,142.870163,NA,141.1911011,NA,135.4070129,140.5525665,137.1371765,NA,NA,NA,NA,NA,NA,NA,137.6858063,NA,NA,NA,NA,NA,NA,NA
GEO,Georgia,97.66291809,95.65699768,87.66549683,86.08090973,90.9785614,99.0795517,103.4862976,111.0059662,116.2555237,120.2767105,120.1382294,115.5969086,110.1559372,108.041153,102.9209213,103.63591,103.7492065,104.5501633,104.1422882,104.1176071,104.8658218,105.814003,105.8187408,103.7705536,102.8348618,100.5184326,100.9272766,99.22566223
GHA,Ghana,73.1780777,74.34937286,73.96164703,75.29112244,74.14714813,NA,NA,NA,75.14826202,79.86347961,75.50875092,78.51441956,75.42453766,78.24143982,84.72447968,89.79421234,94.73204803,100.170723,99.4597168,NA,102.4769974,106.5833282,106.061348,104.5558701,108.3182373,107.3957672,106.0508499,104.2070084
GIN,Guinea,21.76108932,21.80199051,24.87491035,27.67398071,31.67774963,33.76613998,38.01324081,39.22608948,42.18476105,46.59939957,50.6122818,58.70767975,62.75844955,66.42463684,69.43087006,72.02542877,74.58587646,75.38549805,75.19165039,76.02468109,80.251091,81.51325989,83.3295517,84.98477173,NA,82.36128235,NA,NA
GMB,"Gambia, The",NA,49.63116837,51.92092133,54.63119125,56.7493515,60.93220901,62.99752045,64.68856812,75.43132782,75.116539,76.58315277,73.97544861,79.85723877,81.95436096,80.94519043,80.66998291,83.12536621,82.74079895,81.42414093,80.83389282,79.40870667,83.00192261,84.78002167,89.10555267,93.016922,95.40293121,99.07141113,102.4634628
GNB,Guinea-Bissau,NA,33.60950089,32.59170151,36.74367905,40.26147842,42.06370163,45.53570175,47.92908096,NA,60.58156967,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.4614563,NA,NA,NA,NA,NA,NA,NA,NA
GTM,Guatemala,70.66809845,74.28411865,76.0022583,75.66065216,77.97621155,79.31002045,80.22802734,86.30625153,91.4085083,94.7094574,95.67993927,98.80975342,NA,104.804657,106.3012924,107.8458633,108.659462,109.5898438,114.0526276,114.2812119,112.6949234,107.6577911,104.503273,101.0146408,99.87789917,99.12477112,99.61361694,100.5426712
GUY,Guyana,95.45818329,92.12516785,90.92189789,NA,93.03041077,94.51696777,99.09829712,NA,104.466423,103.1567307,100.7600174,NA,96.87957001,NA,100.6474915,NA,97.14676666,98.13729858,94.00694275,95.02513123,97.08760834,96.01876068,NA,NA,NA,NA,NA,NA
HND,Honduras,104.766861,107.9175034,108.6717224,108.2611313,106.1250076,107.3600769,107.4186707,107.7380219,105.587883,104.5769806,NA,NA,108.2353134,106.0257492,101.7076035,104.5908279,99.9548111,100.9067383,99.76764679,100.6844864,99.54605103,96.34248352,93.43670654,91.24582672,92.51112366,92.3704834,91.50588989,NA
HTI,Haiti,NA,73.0251236,76.37728882,82.14063263,89.15592194,97.44629669,106.6795731,111.8845978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDN,Indonesia,111.6993179,110.4748077,108.8590622,109.2887726,108.5302734,107.9689407,107.8768616,107.4808884,109.6958313,107.1865387,108.4551926,108.6988525,108.5317307,108.1403503,106.2415237,104.6002121,107.2391663,106.779213,107.2996521,110.952179,111.1822815,109.1101913,106.6543884,104.7140198,104.4083786,103.9080887,104.1794662,104.5897064
IND,India,78.98610687,79.93688202,83.30172729,84.86302948,84.71990967,85.19561005,85.34358215,84.15724182,84.89983368,86.76233673,87.150177,88.68850708,101.9266663,NA,NA,NA,109.6115799,111.8521576,111.2892838,110.6951218,110.3103638,111.9744263,117.1203766,114.0187607,114.780571,123.5551376,121.1273727,NA
